Z_m,t_s,T_C
0.00411705,10.70002362,0
0.00411705,10.80001575,0
0.00411705,10.90000787,0
0.00411705,11.00017329,0
0.00411705,11.10016541,0
0.00411705,11.20015753,0
0.00411705,11.30014966,0
0.00411705,11.40014178,0
0.00411705,11.5001339,0
0.00411705,11.60012603,0
0.00411705,11.70011815,0
0.00411705,11.80011027,0
0.00411705,11.90010239,0
0.00411705,12.00009452,0
0.00411705,12.10008664,0
0.00411705,12.20007876,0
0.00411705,12.30007089,0
0.00411705,12.40006301,0
0.00411705,12.50005513,0
0.00411705,12.60004725,0
0.00411705,12.70003938,0
0.00411705,12.8000315,0
0.00411705,12.90002362,0
0.00411705,13.00001575,0
0.00411705,13.10000787,0
0.00411705,13.20017329,0
0.00411705,13.30016541,0
0.00411705,13.40015753,0
0.00411705,13.50014966,0
0.00411705,13.60014178,0
0.00411705,13.7001339,0
0.00411705,13.80012602,0
0.00411705,13.90011815,0
0.00411705,14.00011027,0
0.00411705,14.10010239,0
0.00411705,14.20009452,0
0.00411705,14.30008664,0
0.00411705,14.40007876,0
0.00411705,14.50007088,0
0.00411705,14.60006301,0
0.00411705,14.70005513,0
0.00411705,14.80004725,0
0.00411705,14.90003938,0
0.00411705,15.0000315,0
0.00411705,15.10002362,0
0.00411705,15.20001574,0
0.00411705,15.30000787,0
0.00411705,15.40017329,0
0.00411705,15.50016541,0
0.00411705,15.60015753,0
0.00411705,15.70014965,0
0.00411705,15.80014178,0
0.00411705,15.9001339,0
0.00411705,16.00012602,0
0.00411705,16.10011815,0
0.00411705,16.20011027,0
0.00411705,16.30010239,0
0.00411705,16.40009451,0
0.00411705,16.50008664,0
0.00411705,16.60007876,0
0.00411705,16.70007088,0
0.00411705,16.80006301,0
0.00411705,16.90005513,0
0.00411705,17.00004725,0
0.00411705,17.10003937,0
0.00411705,17.2000315,0
0.00411705,17.30002362,0
0.00411705,17.40001574,0
0.00411705,17.50000787,0
0.00411705,17.60017328,0
0.00411705,17.70016541,0
0.00411705,17.80015753,0
0.00411705,17.90014965,0
0.00411705,18.00014178,0
0.00411705,18.1001339,0
0.00411705,18.20012602,0
0.00411705,18.30011814,0
0.00411705,18.40011027,0
0.00411705,18.50010239,0
0.00411705,18.60009451,0
0.00411705,18.70008664,0
0.00411705,18.80007876,0
0.00411705,18.90007088,0
0.00411705,19.000063,0
0.00411705,19.10005513,0
0.00411705,19.20004725,0
0.00411705,19.30003937,0
0.00411705,19.4000315,0
0.00411705,19.50002362,0
0.00411705,19.60001574,0
0.00411705,19.70000786,0
0.00411705,19.80017328,0
0.00411705,19.90016541,0
0.00411705,20.00015753,0
0.00411705,20.10014965,0
0.00411705,20.20014177,0
0.00411705,20.3001339,0
0.00411705,20.40012602,0
0.00411705,20.50011814,0
0.00411705,20.60011027,0
0.00411705,20.70010239,0
0.00411705,20.80009451,0
0.00411705,20.90008663,0
0.00411705,21.00007876,0
0.00411705,21.10007088,0
0.00411705,21.200063,0
0.00411705,21.30005513,0
0.00411705,21.40004725,0
0.00411705,21.50003937,0
0.00411705,21.60003149,0
0.00411705,21.70002362,0
0.00411705,21.80001574,0
0.00411705,21.90000786,0
0.00411705,22.00017328,0
0.00411705,22.1001654,0
0.00411705,22.20015753,0
0.00411705,22.30014965,0
0.00411705,22.40014177,0
0.00411705,22.5001339,0
0.00411705,22.60012602,0
0.00411705,22.70011814,0
0.00411705,22.80011026,0
0.00411705,22.90010239,0
0.00411705,23.00009451,0
0.00411705,23.10008663,0
0.00411705,23.20007876,0
0.00411705,23.30007088,0
0.00411705,23.400063,0
0.00411705,23.50005512,0
0.00411705,23.60004725,0
0.00411705,23.70003937,0
0.00411705,23.80003149,0
0.00411705,23.90002362,0
0.00411705,24.00001574,0
0.00411705,24.10000786,0
0.00411705,24.20017328,0
0.00411705,24.3001654,0
0.00411705,24.40015753,0
0.00411705,24.50014965,0
0.00411705,24.60014177,0
0.00411705,24.70013389,0
0.00411705,24.80012602,0
0.00411705,24.90011814,0
0.00411705,25.00011026,0
0.00411705,25.10010239,0
0.00411705,25.20009451,0
0.00411705,25.30008663,0
0.00411705,25.40007875,0
0.00411705,25.50007088,0
0.00411705,25.600063,0
0.00411705,25.70005512,0
0.00411705,25.80004725,0
0.00411705,25.90003937,0
0.00411705,26.00003149,0
0.00411705,26.10002361,0
0.00411705,26.20001574,0
0.00411705,26.30000786,0
0.00411705,26.40017328,0
0.00411705,26.5001654,0
0.00411705,26.60015752,0
0.00411705,26.70014965,0
0.00411705,26.80014177,0
0.00411705,26.90013389,0
0.00411705,27.00012602,0
0.00411705,27.10011814,0
0.00411705,27.20011026,0
0.00411705,27.30010238,0
0.00411705,27.40009451,0
0.00411705,27.50008663,0
0.00411705,27.60007875,0
0.00411705,27.70007088,0
0.00411705,27.800063,0
0.00411705,27.90005512,0
0.00411705,28.00004724,0
0.00411705,28.10003937,0
0.00411705,28.20003149,0
0.00411705,28.30002361,0
0.00411705,28.40001574,0
0.00411705,28.50000786,0
0.00411705,28.60017328,0
0.00411705,28.7001654,0
0.00411705,28.80015752,0
0.00411705,28.90014965,0
0.00411705,29.00014177,0
0.00411705,29.10013389,0
0.00411705,29.20012601,0
0.00411705,29.30011814,0
0.00411705,29.40011026,0
0.00411705,29.50010238,0
0.00411705,29.60009451,0
0.00411705,29.70008663,0
0.00411705,29.80007875,0
0.00411705,29.90007087,0
0.00411705,30.000063,0
0.00411705,30.10005512,0
0.00411705,30.20004724,0
0.00411705,30.30003937,0
0.00411705,30.40003149,0
0.00411705,30.50002361,0
0.00411705,30.60001573,0
0.00411705,30.70000786,0
0.00411705,30.80017328,0
0.00411705,30.9001654,0
0.00411705,31.00015752,0
0.00411705,31.10014964,0
0.00411705,31.20014177,0
0.00411705,31.30013389,0
0.00411705,31.40012601,0
0.00411705,31.50011814,0
0.00411705,31.60011026,0
0.00411705,31.70010238,0
0.00411705,31.8000945,0
0.00411705,31.90008663,0
0.00411705,32.00007875,0
0.00411705,32.10007087,0
0.00411705,32.200063,0
0.00411705,32.30005512,0
0.00411705,32.40004724,0
0.00411705,32.50003936,0
0.00411705,32.60003149,0
0.00411705,32.70002361,0
0.00411705,32.80001573,0
0.00411705,32.90000786,0
0.00411705,33.00017327,0
0.00411705,33.1001654,0
0.00411705,33.20015752,0
0.00411705,33.30014964,0
0.00411705,33.40014177,0
0.00411705,33.50013389,0
0.00411705,33.60012601,0
0.00411705,33.70011813,0
0.00411705,33.80011026,0
0.00411705,33.90010238,0
0.00411705,34.0000945,0
0.00411705,34.10008663,0
0.00411705,34.20007875,0
0.00411705,34.30007087,0
0.00411705,34.40006299,0
0.00411705,34.50005512,0
0.00411705,34.60004724,0
0.00411705,34.70003936,0
0.00411705,34.80003149,0
0.00411705,34.90002361,0
0.00411705,35.00001573,0
0.00411705,35.10000785,0
0.00411705,35.20017327,0
0.00411705,35.3001654,0
0.00411705,35.40015752,0
0.00411705,35.50014964,0
0.00411705,35.60014176,0
0.00411705,35.70013389,0
0.00411705,35.80012601,0
0.00411705,35.90011813,0
0.00411705,36.00011026,0
0.00411705,36.10010238,0
0.00411705,36.2000945,0
0.00411705,36.30008662,0
0.00411705,36.40007875,0
0.00411705,36.50007087,0
0.00411705,36.60006299,0
0.00411705,36.70005512,0
0.00411705,36.80004724,0
0.00411705,36.90003936,0
0.00411705,37.00003148,0
0.00411705,37.10002361,0
0.00411705,37.20001573,0
0.00411705,37.30000785,0
